microorganismo,tiempo,altura,rep,recuento,trat
E. coli,1,5,1,10,T1_H5
E. coli,1,5,2,8,T1_H5
E. coli,1,5,3,9,T1_H5
E. coli,1,5,4,11,T1_H5
E. coli,1,10,1,12,T1_H10
E. coli,1,10,2,13,T1_H10
E. coli,1,10,3,12,T1_H10
E. coli,1,10,4,11,T1_H10
E. coli,1,20,1,14,T1_H20
E. coli,1,20,2,17,T1_H20
E. coli,1,20,3,14,T1_H20
E. coli,1,20,4,15,T1_H20
E. coli,3,5,1,12,T3_H5
E. coli,3,5,2,13,T3_H5
E. coli,3,5,3,11,T3_H5
E. coli,3,5,4,11,T3_H5
E. coli,3,10,1,6,T3_H10
E. coli,3,10,2,8,T3_H10
E. coli,3,10,3,7,T3_H10
E. coli,3,10,4,6,T3_H10
E. coli,3,20,1,14,T3_H20
E. coli,3,20,2,12,T3_H20
E. coli,3,20,3,13,T3_H20
E. coli,3,20,4,15,T3_H20
E. coli,5,5,1,17,T5_H5
E. coli,5,5,2,18,T5_H5
E. coli,5,5,3,16,T5_H5
E. coli,5,5,4,15,T5_H5
E. coli,5,10,1,15,T5_H10
E. coli,5,10,2,12,T5_H10
E. coli,5,10,3,13,T5_H10
E. coli,5,10,4,14,T5_H10
E. coli,5,20,1,11,T5_H20
E. coli,5,20,2,13,T5_H20
E. coli,5,20,3,12,T5_H20
E. coli,5,20,4,14,T5_H20
S. typhimurium,1,5,1,13,T1_H5
S. typhimurium,1,5,2,10,T1_H5
S. typhimurium,1,5,3,12,T1_H5
S. typhimurium,1,5,4,11,T1_H5
S. typhimurium,1,10,1,16,T1_H10
S. typhimurium,1,10,2,17,T1_H10
S. typhimurium,1,10,3,15,T1_H10
S. typhimurium,1,10,4,17,T1_H10
S. typhimurium,1,20,1,17,T1_H20
S. typhimurium,1,20,2,19,T1_H20
S. typhimurium,1,20,3,20,T1_H20
S. typhimurium,1,20,4,18,T1_H20
S. typhimurium,3,5,1,10,T3_H5
S. typhimurium,3,5,2,11,T3_H5
S. typhimurium,3,5,3,10,T3_H5
S. typhimurium,3,5,4,14,T3_H5
S. typhimurium,3,10,1,6,T3_H10
S. typhimurium,3,10,2,5,T3_H10
S. typhimurium,3,10,3,7,T3_H10
S. typhimurium,3,10,4,6,T3_H10
S. typhimurium,3,20,1,15,T3_H20
S. typhimurium,3,20,2,15,T3_H20
S. typhimurium,3,20,3,16,T3_H20
S. typhimurium,3,20,4,13,T3_H20
S. typhimurium,5,5,1,17,T5_H5
S. typhimurium,5,5,2,17,T5_H5
S. typhimurium,5,5,3,19,T5_H5
S. typhimurium,5,5,4,15,T5_H5
S. typhimurium,5,10,1,11,T5_H10
S. typhimurium,5,10,2,15,T5_H10
S. typhimurium,5,10,3,12,T5_H10
S. typhimurium,5,10,4,14,T5_H10
S. typhimurium,5,20,1,11,T5_H20
S. typhimurium,5,20,2,13,T5_H20
S. typhimurium,5,20,3,10,T5_H20
S. typhimurium,5,20,4,14,T5_H20
